"","topic","numSim","w0","w1","w2","w3","w4","w5","w6","w7","w8","w9"
"787","stored",10,"stored","at_ambient_temperature","pe_bottles","plastic_containers","polyethylene_bags","air_tight","paper_bags","kept_refrigerated","plastic_bags","sealed"
"788","gene",10,"gene","genes","encoding","genome","encoded_by","recombinant","chimeric","locus","dna_sequence","gene_encoding"
"789","mode",6,"mode","modes","action","mode_mechanism","mechanism","common_mode","","","",""
"790","adverse_effect",5,"adverse_effect","adverse","moderately_serious","not_reveal","reproductive_effects","","","","",""
"791","capacity",10,"capacity","ability","cope_with_stressors","dramatically","osmoregulate","enhance","forces","maintain","alevin_stage","microenvironment"
"792","cell",10,"cell","cytoplasm","nuclear","membrane","cellular","mrna_levels","cells","receptor","nuclei","macrophages"
"793","definitions",6,"definitions","fenitrothion_nmc","fenamiphos_fenamiphos_sulfoxide_fenamiphos","metribuzin_desamino","trichlorfon_dichlorvos","ae0651017","","","",""
"794","under_directive_91",7,"under_directive_91","414_eec","using_hplc_uvd","using_gc_ecd","414_eec_spain_1998a","analytical_methods_using_gc","using_gc_npd","","",""
"795","absorbed",10,"absorbed","gastrointestinal_tract","systemic_circulation","readily_absorbed","rapidly_absorbed","excreted_via","gi_tract","rapidly_excreted","eliminated","metabolised"
"796","affect",10,"affect","influence","influenced_by","alter","influences","impair","interact_with","may_affect","poor","affects"
"797","pond",5,"pond","ponds","sewerage","stagnant","stream","","","","",""
"798","extract",4,"extract","purified","extracts","concentrated","","","","","",""
"799","horses",10,"horses","cats","calves","ducks","ruminants","pigs","certain_breeds","rabbits","pheasants","dogs"
"800","represents",5,"represents","remains","represent","indicates","reflects","","","","",""
"801","romania",10,"romania","slovenia","hungary","slovakia","poland","denmark_france","lithuania","lithuania_romania","italy_lithuania","cyprus_greece"
"802","notifier",5,"notifier","rms","applicants","submit","argumentation","","","","",""
"803","death",10,"death","convulsions","tonic_clonic_seizures","cardiac_arrest","manifested","brain_death","consciousness","collapse","unconsciousness","clonic_seizures"
"804","subsequently",4,"subsequently","initially","then","again","","","","","",""
"805","mostly",10,"mostly","frequently","occasionally","often","primarily","predominantly","commonly","rarely","largely","rather_uncommon"
"806","kept",10,"kept","kept_indoors","housed","transported","reared","lying","farms","intensive_systems","restrained","maintained"
"807","ready",10,"ready","eat","eat_foods","eat_rte_foods","eat_pre_cut","eat_fishery_products","eat_salad","eat_meals","eat_sprouted_seeds","eat_rte"
"808","kg_bw_day",10,"kg_bw_day","kg_bw","kg_bw_per_day","per_day","sorbic_acid_kg_bw","tpgs_kg_bw","alpha_tocopherol_equivalents","dkp_kg_bw","mg_sda","000_iu"
"809","nine",10,"nine","eight","seven","ten","six","five","fifteen","twelve","thirteen","four"
"810","missing",5,"missing","lacking","geometrical_isomerism_chirality","isomerism_composition","usa_production_volumes","","","","",""
"811","oranges",10,"oranges","mandarins","peaches","pears","table_grapes","limes","cauliflower","peas_without_pods","chinese_cabbage","leek"
"812","recognised",4,"recognised","recognized","suggested","indeed","","","","","",""
"813","obtain",10,"obtain","get","generate","select","allow","help","enable","achieve","better","find"
"814","organisation",4,"organisation","economic_cooperation","economic_co_operation","oecd_organisation","","","","","",""
"815","peppers",10,"peppers","chinese_cabbage","cherries","table_grapes","aubergines","cucumbers","scarole","plums","brussels_sprouts","kale"
"816","lesions",10,"lesions","haemorrhages","abscesses","ulceration","peritonitis","haemorrhage","oedema","haemorrhagic","purulent","genital"
"817","swine",10,"swine","equine","pig","bovine_leukemia_virus","dairy_cattle","ruminants","porcine","buffaloes","against_peste_des_petits","poultry"
"818","latvia",10,"latvia","slovenia","slovakia","czech_republic","poland","estonia","lithuania","hungary","portugal","finland"
"819","dimethoate",10,"dimethoate","omethoate","diazinon","methomyl","thiodicarb","fenitrothion","phosalone","carbaryl","malathion","methiocarb"
"820","isolated_from",10,"isolated_from","isolated","caliciviruses","isolates","commonly_isolated_from","protozoan_parasites","tapeworm","t_murrelli","genomic_diversity","salmonella_enterica_serovar_heidelberg"
"821","target_species",10,"target_species","target_animals","user","consumers_users","feedap_panel_concludes_that","users_workers","feedap_panel_cannot_conclude","efficacy","miya_gold_clostridium_butyricum","amylofeed"
"822","avoid",10,"avoid","minimise","prevent","ensure","minimize","osmoregulate","become_accustomed","reduce","gain_access","access"
"823","damage",10,"damage","injury","collapse","impair_immune_function","anoxia","hypothermia","hyperthermia","eventually_lead","causes","induce"
"824","later",10,"later","again","last","once","became","first","next","culicoides_borne_pathogens","started","earlier_than"
"825","commission_directive",10,"commission_directive","ec8","amending_directive","directive_2001","commission_directive_2000","ec9","ec7","ec7_which","which_entered_into","ec5"
"826","beverages",10,"beverages","soft_drinks","drinks","non_alcoholic_beverages","chocolate","beverage","flavoured_drinks","alcoholic_beverages","desserts","dairy_analogues"
"827","follow",4,"follow","formulae","infant_formulae","2006_141_ec","","","","","",""
"828","spray",8,"spray","dip","drenching","drip","directly_onto","sprayers","flowering_stage","fogging","",""
"829","minutes",6,"minutes","30_minutes","60_minutes","hours","incubation","min","","","",""
"830","recently",8,"recently","previously","more_recently","been","so_far","also_been","had_previously","recently_been","",""
"831","elimination",7,"elimination","excretion","tissue_distribution","absorption","kinetics","rapid_elimination","enterohepatic_circulation","","",""
"832","slovenia",10,"slovenia","slovakia","czech_republic","estonia","romania","poland","hungary","cyprus","lithuania","lithuania_romania"
"833","designed",9,"designed","validate","aiming","aimed","difficult","carried_out","examine","aim","obtain",""
"834","pecsw_µg_l",6,"pecsw_µg_l","pecsed_µg_kg","0h","dry_pecsw_µg","actual_twa","actual_twa_actual_twa","","","",""
"835","reproductive_toxicity",10,"reproductive_toxicity","developmental","developmental_toxicity","neurotoxicity","carcinogenicity","repeat_dose_toxicity","developmental_effects","teratogenicity","repeated_dose_toxicity","chronic_toxicity"
"836","cadmium",7,"cadmium","nitrate","aluminium","aluminum","lake_whitefish_coregonus_clupeaformis","mercury","methylmercury","","",""
"837","latter",10,"latter","moreover","fact_that","largely","finally","suggests_that","pallium","indeed","again","actually"
"838","sugar_beet_root",10,"sugar_beet_root","apples_potatoes","apples_wine_grapes","tomatoes_apples","potatoes_potatoes","potatoes_apples","tomatoes_potatoes","potatoes_tomatoes","potatoes_wine_grapes","tomatoes_lettuce"
"839","fruiting_vegetables",10,"fruiting_vegetables","leafy_vegetables","bulb_vegetables","tuber_vegetables_potato","root_tuber_vegetables","leafy_vegetables_lettuce","tuber_vegetables","pulses_oilseeds","apples_grapes","fruiting_vegetables_grapes"
"840","also_been",5,"also_been","been","not_been","recently_been","recently","","","","",""
"841","choice",10,"choice","selection","determining","robustness","stochastic_simulation","bayesian_network","roulette","representation","internal_consistency","diagnostic_performance_characteristics"
"842","cancer",6,"cancer","breast_cancer","renal_disease","endometrial_cancer","cancers","alzheimer_s_disease","","","",""
"843","young_children",10,"young_children","special_formulae","baby_foods","infants","processed_cereal_based","special_medical_purposes","ec10_processed_cereal","formulae_processed_cereal","ec_processed_cerealbased","processed_cerealbased_foods"
"844","field_trials",10,"field_trials","field_trial","multiple_seasons","local_agronomic_practices","counterpart_h1548126","romanian_field_trials","h1548126","namoi_valley_australia","both_well_watered","field_trials_carried_out"
"845","greater",10,"greater","higher","increasing","smaller","lower","less","increases","even","decrease","increase"
"846","pursuant",6,"pursuant","article_13","regulation_ec_no_1924","health_claim_pursuant","2006_claim_serial","nutrilinks_sarl_submitted","","","",""
"847","better",10,"better","useful","practical","sound","positive_attitude_towards","more_accurate","effort","obtain","more_precise","decide_how"
"848","removed",10,"removed","immediately","separated","unloaded","transported","leaving","irreversibly_unconscious","skulls","immediately_after","killed"
"849","lc_ms_ms",10,"lc_ms_ms","hplc_ms_ms","gc_ecd","gc_ms","gc_ms_ms","lc_ms","hplc_uv","lc_uv","gc_msd","gc_npd"
"850","solution",10,"solution","dissolved","suspension","diluted","aqueous","dissolving","aqueous_solution","solutions","distilled_water","dilute"
"851","relationship_between",5,"relationship_between","correlation_between","association_between","relationships_between","influences","","","","",""
"852","zoonoses",10,"zoonoses","zoonotic_agents","community_summary_report","foodborne_outbreaks","food_borne_outbreaks","mss_are_obliged","waterborne_diseases","reporting_system","appendix_table_eh1","table_ye3"
"853","inhibition",10,"inhibition","activation","inhibited","inhibitor","phosphorylation","acrylamide_induced","modulation","cholinesterase_activity","ache_activity","induction"
"854","oilseeds",10,"oilseeds","leafy_vegetables_pulses","coffee_beans","root_vegetables","tuber_vegetables_pulses","starchy_roots","legumes_nuts","leafy_vegetables_root","spices","fruiting_vegetables_leafy_vegetables"
"855","isolation",10,"isolation","clinical_specimens","characterization","prrsv","virus","detection","subsequent_virus_isolation","real_time_reverse_transcription","newcastle_disease_virus","classical_swine_fever_virus"
"856","pods",10,"pods","beans_without_pods","pods_peas","pods_peas_without_pods","pods_strawberries","peas_without_pods","pods_cultivated_fungi","pods_rice_rice","pods_gherkins","tomatoes_cultivated_fungi"
"857","clearly",10,"clearly","indeed","clear","actually","though","moreover","rather","uncertain","direct_acting_pesticides","always"
"858","genetically_modified_organisms",10,"genetically_modified_organisms","gmo_2012c","gmo_2011b","gmo_2012d","gmo_2011a","gmo_2011c","gmo","2009_1108","2010_1879","2012_3016"
"859","cef_panel",6,"cef_panel","deceased_suggested_citation","processing_aids_2015","processing_aids_cef_2012d","processing_aids_2014","efsa_fge_24rev2","","","",""
"860","southern_europe",4,"southern_europe","northern_europe","southern_eu","northern","","","","","",""
"861","apple",10,"apple","grape","tomato","peach","strawberry","pear","banana","cucumber","cabbage","tomato_cucumber"
"862","hosts",10,"hosts","insect_vectors","p_spumarius","vector_species","xylem_sap_feeding","insect_vector","vectors","fdp","s_titanus","tylcv"
"863","appear",10,"appear","seem","have_been_shown","seems","appears","tend","possibly","become","thought","seemed"
"864","signs",10,"signs","clinical_signs","convulsions","ataxia","lethargy","abnormalities","tremors","lesions","symptoms","diarrhoea"
"865","control_measures",10,"control_measures","eradication","measures","biosecurity_measures","prevent_introduction","eradication_measures","preventive_measures","prevent_spread","implemented","containment"
"866","life",6,"life","post_weaning_period","proestrus","lactation","kits_weaned","neonatal_period","","","",""
"867","regulation_ec_no_1829",10,"regulation_ec_no_1829","monsanto","feed_uses_import","87705_mon_89788","accordance_with_articles","unique_identifier_mon","regulation_ec_1829_2003","from_pioneer_hi","1507_x_nk603_maize","from_syngenta_seeds"
"868","toddlers",10,"toddlers","toddlers_children","elderly","all_age_groups","adolescents","adult_population","very_elderly","age_groups_infants_toddlers","adult_age_classes","adolescents_adults_elderly_very"
"869","data_collection",10,"data_collection","ssd2","dcf","eu_menu","dwh","metadata_validation","ssd_2014","data_collections","catalogues","web_services"
"870","matrices",4,"matrices","confirmatory_methods","acidic_matrices","dry_matrices","","","","","",""
"871","wild_boar",10,"wild_boar","wildlife","domestic_pigs","asf","wild_boar_population","hunting","csf","asf_outbreaks","wild_boar_populations","foxes"
